asv,lca_rank,lca_taxon,kingdom,phylum,class,order,family,genus,species,method,survey,marker
ASV1010,species,Halisarca dujardinii,Eukaryota,Porifera,Demospongiae,Dendroceratida,Halisarcidae,Halisarca,Halisarca dujardinii,best hit,depth transect atlantic,coi
ASV1012,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV1020,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV103,species,Aurelia aurita,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,best hit,depth transect atlantic,coi
ASV1058,species,Bolinopsis infundibulum,Eukaryota,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,Bolinopsis infundibulum,best hit,depth transect atlantic,coi
ASV1088,species,Asterias rubens,Eukaryota,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,best hit,depth transect atlantic,coi
ASV1104,species,Ophiopholis aculeata,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiopholis,Ophiopholis aculeata,best hit,depth transect atlantic,coi
ASV111,species,Engraulis mordax,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,best hit,depth transect atlantic,coi
ASV1131,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV114,species,Acartia sp. Co422.1.1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia sp. Co422.1.1,best hit,depth transect atlantic,coi
ASV1156,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,depth transect atlantic,coi
ASV1175,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV119,species,Temora longicornis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora longicornis,best hit,depth transect atlantic,coi
ASV1193,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV1199,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV12,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV1236,species,Microcalanus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,unknown genus,Microcalanus,best hit,depth transect atlantic,coi
ASV1240,species,Acartia sp. KLMPC044-09,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia sp. KLMPC044-09,best hit,depth transect atlantic,coi
ASV1257,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV1267,species,Tortanus discaudatus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,Tortanus discaudatus,best hit,depth transect atlantic,coi
ASV1273,species,Metridia lucens,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens,best hit,depth transect atlantic,coi
ASV130,species,Evadne sp. 12NJNB0017,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne sp. 12NJNB0017,best hit,depth transect atlantic,coi
ASV1304,species,Bos mutus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus,lca,depth transect atlantic,coi
ASV1328,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,depth transect atlantic,coi
ASV1364,species,Membranipora membranacea,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,best hit,depth transect atlantic,coi
ASV1370,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,depth transect atlantic,coi
ASV1386,species,Calanus finmarchicus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus finmarchicus,best hit,depth transect atlantic,coi
ASV1389,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV1394,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1438,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1440,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1471,species,Ctenolepisma longicaudata,Eukaryota,Arthropoda,Insecta,Zygentoma,Lepismatidae,Ctenolepisma,Ctenolepisma longicaudata,lca,depth transect atlantic,coi
ASV1478,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV1484,species,Centropages hamatus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages hamatus,lca,depth transect atlantic,coi
ASV1487,species,Acartia sp. Co422.1.1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia sp. Co422.1.1,best hit,depth transect atlantic,coi
ASV150,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV1512,species,Ctenolepisma longicaudata,Eukaryota,Arthropoda,Insecta,Zygentoma,Lepismatidae,Ctenolepisma,Ctenolepisma longicaudata,lca,depth transect atlantic,coi
ASV1528,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
